Mã HP	Tên Học Phần	Tổng TC	TC Lý thuyết	TC Thực hành	TC Tự học	Hình thức (OFFLINE/ONLINE_ELEARNING/ONLINE_COURSERA/HYBRID)	Loại phòng (LT / PM / TN / SB / XT / BV / DN / ONLINE / DA)	Mã Khoa	Mã Bộ môn (Tùy chọn)	Mã Khoa dùng chung (cách nhau dấu phẩy, VD: IT,CS,MATH)
ME-1065	Kỹ thuật xét nghiệm huyết học	4	3	1	0	ONLINE_ELEARNING	ONLINE	ME	ME-BM1	
ME-1066	Kỹ thuật điện tim — Holter	2	1	1	0	ONLINE_ELEARNING	ONLINE	ME	ME-BM1	
ME-1067	Thực tập PHCN	2	1	1	0	HYBRID	PM	ME	ME-BM1	
ME-1068	Miễn dịch và xét nghiệm huyết học dịch	3	2	1	0	OFFLINE	TN	ME	ME-BM1	
ME-1069	Thực tập hình ảnh y học	2	1	1	0	ONLINE_COURSERA	ONLINE	ME	ME-BM1	
ME-1070	Xét nghiệm nước tiểu và dịch cơ thể	3	1	0	2	HYBRID	LT	ME	ME-BM1	
ME-1071	Kỹ thuật lấy mẫu và an toàn phòng xét nghiệm	2	1	1	0	OFFLINE	TN	ME	ME-BM1	
ME-1072	Vi sinh — Ký sinh trùng lâm sàng	2	2	0	0	OFFLINE	TN	ME	ME-BM1	
ME-1073	An toàn bức xạ và ALARA	3	2	1	0	OFFLINE	LT	ME	ME-BM1	
ME-1074	Kỹ thuật hình ảnh y học — X-quang	3	2	1	0	OFFLINE	TN	ME	ME-BM1	
ME-1075	Chất lượng và kiểm soát nội bộ XN	3	2	1	0	OFFLINE	TN	ME	ME-BM1	
ME-1076	CT và MRI — Nguyên lý và tác dụng phụ	3	2	1	0	OFFLINE	PM	ME	ME-BM1	
PUD-1077	Thực tập lâm sàng RHM III	3	2	1	0	OFFLINE	BV	PUD	PUD-BM1	
PUD-1078	Ngoại nha tiểu phẫu	2	0	2	0	OFFLINE	TN	PUD	PUD-BM1	
PUD-1079	Nha nhi	2	2	0	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1080	Nha chữa trị bệnh lý cứng	2	0	2	0	HYBRID	BV	PUD	PUD-BM1	
PUD-1081	Thực tập lâm sàng RHM I	2	2	0	0	HYBRID	LT	PUD	PUD-BM1	
PUD-1082	Phục hình cố định và tháo lắp	2	2	0	0	ONLINE_ELEARNING	ONLINE	PUD	PUD-BM1	
PUD-1083	Quản lý phòng khám RHM	2	1	1	0	OFFLINE	TN	PUD	PUD-BM1	
PUD-1084	Vi phẫu và phục hồi nướu	2	1	1	0	OFFLINE	TN	PUD	PUD-BM1	
PUD-1085	Nghiên cứu RHM và bằng chứng lâm sàng	3	2	1	0	OFFLINE	LT	PUD	PUD-BM1	
PUD-1086	Thực tập lâm sàng RHM II	3	2	1	0	HYBRID	PM	PUD	PUD-BM1	
PUD-1087	Chẩn đoán hình ảnh trong RHM	3	2	1	0	OFFLINE	TN	PUD	PUD-BM1	
PUD-1088	Seminar chẩn đoán RHM nâng cao	3	1	0	2	ONLINE_ELEARNING	ONLINE	PUD	PUD-BM1	
PUD-1089	Cấy ghép Implant cơ sở	3	2	1	0	OFFLINE	TN	PUD	PUD-BM1	
PUD-1090	Luật — Đạo đức nghề nghiệp RHM	2	2	0	0	OFFLINE	LT	PUD	PUD-BM1	
PUD-1091	Tổng ôn kỳ thi quốc gia RHM	4	3	1	0	OFFLINE	TN	PUD	PUD-BM1	
PUD-1092	Nội nha	3	2	1	0	ONLINE_ELEARNING	BV	PUD	PUD-BM1	
PUD-1093	Chỉnh nha học cơ sở	3	2	1	0	ONLINE_COURSERA	ONLINE	PUD	PUD-BM1	
PUD-1094	Cấp cứu trong RHM	3	2	1	0	ONLINE_COURSERA	ONLINE	PUD	PUD-BM1	
PUD-1095	Giải phẫu — Sinh lý RHM	3	1	0	2	ONLINE_ELEARNING	ONLINE	PUD	PUD-BM1	
MD-1096	Ngoại khoa cơ sở	3	2	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1097	Nhi khoa cơ sở	4	3	1	0	OFFLINE	LT	MD	MD-BM1	
MD-1098	Dịch tễ và Y sinh thống kê	2	2	0	0	OFFLINE	LT	MD	MD-BM1	
MD-1099	Y đức và giao tiếp bác sĩ — bệnh nhân	2	2	0	0	OFFLINE	LT	MD	MD-BM1	
MD-1100	Ung bướu học lâm sàng	2	1	0	1	ONLINE_ELEARNING	ONLINE	MD	MD-BM1	
MD-1101	Da liễu học cơ sở	2	0	2	0	HYBRID	LT	MD	MD-BM1	
MD-1102	Sản khoa lâm sàng	3	2	1	0	HYBRID	BV	MD	MD-BM1	
MD-1103	Mắt — Tai mũi họng cơ sở	3	1	0	2	OFFLINE	LT	MD	MD-BM1	
MD-1104	Sản phụ khoa cơ sở	3	2	1	0	HYBRID	BV	MD	MD-BM1	
MD-1105	Tâm thần học cơ sở	4	3	1	0	HYBRID	TN	MD	MD-BM1	
MD-1106	Phẫu thuật tiêu hóa — Đại tràng	3	2	1	0	ONLINE_COURSERA	ONLINE	MD	MD-BM1	
MD-1107	Tiêu hóa — Gan mật	3	2	1	0	HYBRID	BV	MD	MD-BM1	
MD-1108	Truyền nhiễm lâm sàng	3	2	1	0	OFFLINE	BV	MD	MD-BM1	
MD-1109	Ngoại khoa lâm sàng tiêu hóa	3	2	1	0	OFFLINE	BV	MD	MD-BM1	
MD-1110	Pháp y và pháp luật y khoa	3	1	0	2	HYBRID	LT	MD	MD-BM1	
MD-1111	Nội khoa cơ sở	3	2	1	0	ONLINE_COURSERA	BV	MD	MD-BM1	
MD-1112	Nội tiết — Đái tháo đường	4	3	1	0	OFFLINE	PM	MD	MD-BM1	
MD-1113	Thực tập lâm sàng đa chuyên khoa II	3	2	1	0	OFFLINE	BV	MD	MD-BM1	
MD-1114	Da liễu lâm sàng	3	2	1	0	ONLINE_COURSERA	BV	MD	MD-BM1	
FTME-1115	Thực tập chẩn trị YHCT I	3	2	1	0	OFFLINE	BV	FTME	FTME-BM1	
FTME-1116	Luật Y học cổ truyền và an toàn thuốc	2	2	0	0	OFFLINE	LT	FTME	FTME-BM1	
FTME-1117	YHCT trong Nhi	3	2	1	0	ONLINE_COURSERA	ONLINE	FTME	FTME-BM1	
FTME-1118	Dược lý học cổ truyền	3	2	1	0	ONLINE_COURSERA	ONLINE	FTME	FTME-BM1	
FTME-1119	Dinh dưỡng và dưỡng sinh trong YHCT	3	2	1	0	OFFLINE	TN	FTME	FTME-BM1	
FTME-1120	Dinh dưỡng và thực dưỡng học trong YHCT	2	0	2	0	HYBRID	PM	FTME	FTME-BM1	
FTME-1121	Chẩn đoán YHCT — Tứ chẩn	3	2	1	0	OFFLINE	BV	FTME	FTME-BM1	
FTME-1122	Bài thuốc và phương pháp điều trị bệnh nội khoa	3	2	1	0	ONLINE_ELEARNING	ONLINE	FTME	FTME-BM1	
FTME-1123	Bào chế thuốc YHCT	3	1	0	2	ONLINE_COURSERA	ONLINE	FTME	FTME-BM1	
FTME-1124	Phương thuốc và phối ngũ	2	2	0	0	OFFLINE	LT	FTME	FTME-BM1	
FTME-1125	Thực tập bệnh viện YHCT	2	2	0	0	ONLINE_ELEARNING	ONLINE	FTME	FTME-BM1	
FTME-1126	Lý luận Y học cổ truyền	3	2	1	0	ONLINE_COURSERA	ONLINE	FTME	FTME-BM1	
FTME-1127	Dược liệu — Nhận diện và bảo quản	2	0	2	0	OFFLINE	PM	FTME	FTME-BM1	
FTME-1128	YHCT trong phụ khoa	3	2	1	0	OFFLINE	LT	FTME	FTME-BM1	
FTME-1129	Seminar lâm sàng YHCT	4	3	1	0	OFFLINE	LT	FTME	FTME-BM1	
FTME-1130	Thực tập chẩn trị YHCT II	3	2	1	0	OFFLINE	BV	FTME	FTME-BM1	
FTME-1131	Nội kinh và tư tưởng Y đạo	3	2	1	0	ONLINE_COURSERA	ONLINE	FTME	FTME-BM1	
FTME-1132	Châm cứu học	2	0	2	0	ONLINE_COURSERA	ONLINE	FTME	FTME-BM1	
FTME-1133	Massage — Bấm huyệt trị liệu	2	2	0	0	ONLINE_COURSERA	ONLINE	FTME	FTME-BM1	
FPH-1134	Sức khỏe môi trường	4	3	1	0	ONLINE_ELEARNING	ONLINE	FPH	FPH-BM1	
FPH-1135	Thực tập cơ sở y tế dự phòng	2	2	0	0	OFFLINE	LT	FPH	FPH-BM1	
FPH-1136	Nutrition cộng đồng	3	2	1	0	OFFLINE	TN	FPH	FPH-BM1	
FPH-1137	Quản lý dịch bệnh và cảnh báo	2	1	1	0	OFFLINE	LT	FPH	FPH-BM1	
FPH-1138	Phòng chống HIV AIDS và bệnh truyền nhiễm xã hội	2	2	0	0	OFFLINE	LT	FPH	FPH-BM1	
FPH-1139	Hệ thống thông tin y tế công cộng	2	1	1	0	ONLINE_COURSERA	ONLINE	FPH	FPH-BM1	
FPH-1140	Quản trị bệnh viện	3	2	1	0	HYBRID	PM	FPH	FPH-BM1	
FPH-1141	Đồ án mô phỏng kế hoạch phòng dịch	3	2	1	0	OFFLINE	PM	FPH	FPH-BM1	
FPH-1142	Ethics trong nghiên cứu sức khỏe cộng đồng	3	2	1	0	OFFLINE	PM	FPH	FPH-BM1	
FPH-1143	Sức khỏe sinh sản — Gia đình	4	3	1	0	ONLINE_ELEARNING	ONLINE	FPH	FPH-BM1	
FPH-1144	Thống kê y tế	3	2	1	0	OFFLINE	PM	FPH	FPH-BM1	
FPH-1145	Kinh tế y tế và thanh toán BHYT	4	3	1	0	OFFLINE	TN	FPH	FPH-BM1	
FPH-1146	Truyền thông sức khỏe	3	2	1	0	OFFLINE	LT	FPH	FPH-BM1	
FPH-1147	Pháp luật y tế và quản trị y tế	2	2	0	0	OFFLINE	LT	FPH	FPH-BM1	
FPH-1148	Đánh giá chương trình y tế	3	1	0	2	OFFLINE	LT	FPH	FPH-BM1	
FPH-1149	Sức khỏe nghề nghiệp	3	2	1	0	OFFLINE	PM	FPH	FPH-BM1	
FPH-1150	Chất lượng và an toàn người bệnh	2	1	1	0	OFFLINE	TN	FPH	FPH-BM1	
FPH-1151	Dịch tễ học	2	2	0	0	ONLINE_COURSERA	ONLINE	FPH	FPH-BM1	
FPH-1152	Seminar chính sách y tế	2	1	1	0	ONLINE_ELEARNING	ONLINE	FPH	FPH-BM1	
FOS-1153	Phật học và thiền cổ sơ	4	3	1	0	OFFLINE	TN	FOS	FOS-BM1	
FOS-1154	Đông phương và thế giới Arab	4	3	1	0	HYBRID	TN	FOS	FOS-BM1	
FOS-1155	Thực địa văn hóa — Field trip	2	0	2	0	ONLINE_ELEARNING	ONLINE	FOS	FOS-BM1	
FOS-1156	Lịch sử — Văn hóa Đông Á	3	2	1	0	HYBRID	TN	FOS	FOS-BM1	
FOS-1157	Seminar luận văn Đông phương học	2	1	0	1	ONLINE_ELEARNING	ONLINE	FOS	FOS-BM1	
FOS-1158	Ngôn ngữ Cổ — Sanscrit cơ bản	2	1	1	0	HYBRID	TN	FOS	FOS-BM1	
FOS-1159	Hán Nôm đọc hiểu cơ bản	3	1	0	2	ONLINE_ELEARNING	ONLINE	FOS	FOS-BM1	
FOS-1160	Triết học Đông phương — Khổng — Lão — Phật	3	2	1	0	HYBRID	PM	FOS	FOS-BM1	
FOS-1161	Phương pháp nghiên cứu Đông phương học	3	2	1	0	ONLINE_ELEARNING	ONLINE	FOS	FOS-BM1	
FOS-1162	Ngôn ngữ học đối chiếu	3	2	1	0	OFFLINE	TN	FOS	FOS-BM1	
FOS-1163	Ấn Độ giáo và văn hóa Nam Á	3	2	1	0	HYBRID	LT	FOS	FOS-BM1	
FOS-1164	Văn học Hàn Quốc đương đại	3	1	0	2	ONLINE_ELEARNING	ONLINE	FOS	FOS-BM1	
FOS-1165	Quan hệ Việt Nam — ASEAN văn hóa	3	2	1	0	OFFLINE	TN	FOS	FOS-BM1	
FOS-1166	Văn học cổ điển Trung Hoa	2	2	0	0	ONLINE_ELEARNING	ONLINE	FOS	FOS-BM1	
FOS-1167	Văn học hiện đại Nhật Bản	3	1	0	2	ONLINE_ELEARNING	ONLINE	FOS	FOS-BM1	
FOS-1168	Di sản văn hóa phi vật thể	3	2	1	0	ONLINE_COURSERA	ONLINE	FOS	FOS-BM1	
FOS-1169	Tư tưởng Hồ Chí Minh và phát triển bền vững	3	1	0	2	HYBRID	LT	FOS	FOS-BM1	
FOS-1170	So sánh văn minh sông Hằng và sông Ấn	3	2	1	0	OFFLINE	LT	FOS	FOS-BM1	
FOS-1171	Giới tính — Văn hóa và xã hội Đông Á	3	2	1	0	ONLINE_COURSERA	ONLINE	FOS	FOS-BM1	
FL-1172	Biên — Phiên dịch nền tảng	3	2	1	0	OFFLINE	LT	FL	FL-BM1	
FL-1173	Đánh giá năng lực ngôn ngữ	2	1	1	0	OFFLINE	PM	FL	FL-BM1	
FL-1174	Đồ án dịch thuật	3	2	1	0	OFFLINE	PM	FL	FL-BM1	
FL-1175	Linguistics ứng dụng	3	2	1	0	OFFLINE	PM	FL	FL-BM1	
FL-1176	Văn học Anh — Mỹ chọn lọc	2	0	2	0	OFFLINE	LT	FL	FL-BM1	
FL-1177	Seminar văn học hậu thực dân	3	2	1	0	ONLINE_COURSERA	ONLINE	FL	FL-BM1	
FL-1178	Ngữ âm — Âm vị học tiếng Anh	3	2	1	0	OFFLINE	PM	FL	FL-BM1	
FL-1179	Dịch — Biên dịch cơ bản	2	2	0	0	ONLINE_ELEARNING	ONLINE	FL	FL-BM1	
FL-1180	Critical thinking bằng tiếng Anh	2	2	0	0	OFFLINE	LT	FL	FL-BM1	
FL-1181	Quản lý lớp học CLIL	2	1	1	0	ONLINE_COURSERA	ONLINE	FL	FL-BM1	
FL-1182	Phương pháp giảng dạy tiếng Anh	2	1	0	1	ONLINE_ELEARNING	ONLINE	FL	FL-BM1	
FL-1183	Kiểm định Cambridge — TKT	2	0	2	0	HYBRID	PM	FL	FL-BM1	
FL-1184	Viết học thuật tiếng Anh	2	1	1	0	OFFLINE	LT	FL	FL-BM1	FL,FOS
FL-1185	Tiếng Anh Y khoa cơ bản	2	0	2	0	OFFLINE	PM	FL	FL-BM1	
FL-1186	Tiếng Anh thương mại	2	2	0	0	OFFLINE	LT	FL	FL-BM1	
FL-1187	Dịch phụ đề và media	3	2	1	0	HYBRID	LT	FL	FL-BM1	
FL-1188	Giao tiếp đa văn hóa	2	0	2	0	OFFLINE	LT	FL	FL-BM1	
FL-1189	Genre và phân tích diễn ngôn	3	2	1	0	OFFLINE	TN	FL	FL-BM1	FL,FOS
FL-1190	Ngữ pháp nâng cao	3	2	1	0	HYBRID	PM	FL	FL-BM1	
FKL-1191	Phương pháp dạy tiếng Hàn	2	1	1	0	OFFLINE	PM	FKL	FKL-BM1	
FKL-1192	TOPIK intensive	3	2	1	0	OFFLINE	LT	FKL	FKL-BM1	
FKL-1193	Đọc hiểu báo chí Hàn	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1194	Từ vựng — Hán tự Hàn cơ bản	3	2	1	0	ONLINE_ELEARNING	ONLINE	FKL	FKL-BM1	
FKL-1195	Tiếng Hàn du lịch và lễ tân	3	2	1	0	ONLINE_ELEARNING	ONLINE	FKL	FKL-BM1	
FKL-1196	Tiếng Hàn tài chính và ngân hàng	3	2	1	0	ONLINE_COURSERA	ONLINE	FKL	FKL-BM1	
FKL-1197	Seminar đương đại Hàn Quốc	3	2	1	0	OFFLINE	LT	FKL	FKL-BM1	
FKL-1198	Văn hóa Hàn — K-pop và điện ảnh	4	3	1	0	OFFLINE	PM	FKL	FKL-BM1	
FKL-1199	Thực hành biên phiên Hàn nền tảng	3	2	1	0	ONLINE_COURSERA	ONLINE	FKL	FKL-BM1	
FKL-1200	So sánh cấu trúc ngữ pháp Hàn — Việt	3	2	1	0	ONLINE_ELEARNING	ONLINE	FKL	FKL-BM1	
FKL-1201	Điện ảnh Hàn Quốc và ngôn ngữ hội thoại đương đại	4	3	1	0	ONLINE_COURSERA	ONLINE	FKL	FKL-BM1	
FKL-1202	Phát âm và Ngữ âm tiếng Hàn	3	1	0	2	HYBRID	LT	FKL	FKL-BM1	
FKL-1203	Dịch Hàn — Việt cơ bản	3	2	1	0	ONLINE_ELEARNING	ONLINE	FKL	FKL-BM1	
FKL-1204	Ngữ pháp tiếng Hàn TOPIK I–II	3	2	1	0	OFFLINE	PM	FKL	FKL-BM1	
FKL-1205	Biên — phiên hội chợ thương mại Hàn — Việt	2	1	1	0	OFFLINE	TN	FKL	FKL-BM1	
FKL-1206	Kinh doanh tiếng Hàn	3	1	0	2	OFFLINE	LT	FKL	FKL-BM1	
FKL-1207	Nghe nói tiếng Hàn thực tế	3	2	1	0	ONLINE_COURSERA	ONLINE	FKL	FKL-BM1	
FKL-1208	Hàn Quốc học — Lịch sử xã hội	3	2	1	0	HYBRID	LT	FKL	FKL-BM1	
FKL-1209	Hán ngữ so sánh Hàn — Trung	3	1	0	2	ONLINE_COURSERA	ONLINE	FKL	FKL-BM1	
FJL-1210	Đọc hiểu tiếng Nhật tổng hợp	3	2	1	0	OFFLINE	LT	FJL	FJL-BM1	
FJL-1211	Kinh tế Nhật Bản đương đại	3	2	1	0	OFFLINE	LT	FJL	FJL-BM1	
FJL-1212	Phương pháp sư phạm tiếng Nhật	2	1	0	1	ONLINE_ELEARNING	ONLINE	FJL	FJL-BM1	FL,FOS
FJL-1213	Tiếng Nhật kinh doanh	3	2	1	0	ONLINE_ELEARNING	ONLINE	FJL	FJL-BM1	
FJL-1214	Nghe AV tài liệu Nhật	2	0	2	0	OFFLINE	PM	FJL	FJL-BM1	
FJL-1215	Thực tập phiên dịch tốc ký	2	1	0	1	ONLINE_ELEARNING	ONLINE	FJL	FJL-BM1	FL,FOS
FJL-1216	Dịch Nhật — Việt	3	2	1	0	ONLINE_ELEARNING	ONLINE	FJL	FJL-BM1	
FJL-1217	Đề tài độc lập tiếng Nhật	3	2	1	0	ONLINE_ELEARNING	ONLINE	FJL	FJL-BM1	
FJL-1218	Keigo và ngữ dụng trong giao tiếp Nhật	2	1	0	1	ONLINE_ELEARNING	ONLINE	FJL	FJL-BM1	
FJL-1219	JLPT luyện tập	3	1	0	2	OFFLINE	LT	FJL	FJL-BM1	
FJL-1220	Ngữ pháp cao cấp tiếng Nhật	3	2	1	0	OFFLINE	LT	FJL	FJL-BM1	
FJL-1221	Văn hóa Nhật Bản hiện đại	2	0	2	0	OFFLINE	LT	FJL	FJL-BM1	
FJL-1222	Điện ảnh và ngôn ngữ hình ảnh Nhật	4	3	1	0	ONLINE_COURSERA	ONLINE	FJL	FJL-BM1	
FJL-1223	Giao tiếp tiếng Nhật thực tế	3	2	1	0	OFFLINE	PM	FJL	FJL-BM1	FL,FOS
FJL-1224	Light novel và dịch văn học trẻ	2	1	1	0	OFFLINE	PM	FJL	FJL-BM1	FL,FOS
FJL-1225	Thực tập biên — phiên dịch song song	3	2	1	0	OFFLINE	PM	FJL	FJL-BM1	
FJL-1226	Ngữ pháp tiếng Nhật N4 — N3	2	0	2	0	OFFLINE	LT	FJL	FJL-BM1	
FJL-1227	Hiragana — Katakana và Kanji sơ cấp	2	2	0	0	ONLINE_ELEARNING	ONLINE	FJL	FJL-BM1	
FJL-1228	Văn học Nhật chọn lọc	3	1	0	2	OFFLINE	LT	FJL	FJL-BM1	
FFL-1229	Biên tập song ngữ Pháp — Việt	4	3	1	0	OFFLINE	TN	FFL	FFL-BM1	FL,FOS
FFL-1230	Văn học Pháp — Maghreb	2	1	0	1	ONLINE_ELEARNING	ONLINE	FFL	FFL-BM1	
FFL-1231	Văn học Pháp cổ điển	3	2	1	0	HYBRID	PM	FFL	FFL-BM1	
FFL-1232	Dịch Pháp — Việt	3	2	1	0	OFFLINE	LT	FFL	FFL-BM1	
FFL-1233	Văn hóa — Xã hội Pháp và Francophonie	3	2	1	0	OFFLINE	LT	FFL	FFL-BM1	
FFL-1234	Seminar điện ảnh Pháp	3	2	1	0	ONLINE_COURSERA	ONLINE	FFL	FFL-BM1	FL,FOS
FFL-1235	Francais des affaires	2	1	0	1	ONLINE_ELEARNING	ONLINE	FFL	FFL-BM1	
FFL-1236	Báo chí và media Pháp ngữ	4	3	1	0	OFFLINE	LT	FFL	FFL-BM1	
FFL-1237	Từ vựng chủ đề — văn hóa Pháp	3	2	1	0	ONLINE_COURSERA	ONLINE	FFL	FFL-BM1	
